Date,Time,Src IP,Dst IP,Byte Size
2024-03-27,14:46:23,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:46:52,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:46:52,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:46:52,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:47:21,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:47:21,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:47:21,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:47:50,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:47:50,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:47:50,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:48:19,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:48:19,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:48:19,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:48:19,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:48:48,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:48:48,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:48:48,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:49:17,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:49:17,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:49:17,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:49:38,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:49:38,"('3.83.66.164', 443)","('10.3.141.106', 49326)","[504, 1016]"
2024-03-27,14:49:46,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:49:46,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:49:46,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:50:15,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:50:15,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:50:15,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:50:44,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:50:44,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:50:44,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:51:13,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:51:13,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:51:13,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:51:42,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:51:42,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:51:42,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:52:11,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:52:11,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:52:11,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:52:40,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:52:40,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:52:40,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:53:09,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:53:09,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:53:09,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[28]
2024-03-27,14:53:09,"('10.3.141.106', 49326)","('3.83.66.164', 443)",[60]
2024-03-27,14:53:38,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:53:38,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:53:38,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:54:07,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:54:07,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:54:07,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:54:36,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:54:36,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:54:36,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:55:05,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:55:05,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:55:05,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:55:34,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:55:34,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
2024-03-27,14:55:34,"('10.3.141.106', 49326)","('3.83.66.164', 443)","[28, 60]"
2024-03-27,14:56:03,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[28]
2024-03-27,14:56:03,"('3.83.66.164', 443)","('10.3.141.106', 49326)",[56]
